iter	Passed	Remaining
790	933	246
791	934	245
792	935	244
793	936	242
794	937	241
795	938	240
796	939	239
797	940	238
798	941	236
799	943	235
800	944	234
801	945	233
802	946	232
803	947	231
804	949	229
805	950	228
806	951	227
807	952	226
808	953	225
809	954	223
810	955	222
811	956	221
812	958	220
813	959	219
814	960	218
815	961	216
816	962	215
817	964	214
818	965	213
819	966	212
820	967	210
821	968	209
822	969	208
823	970	207
824	971	206
825	973	204
826	974	203
827	975	202
828	976	201
829	978	200
830	979	199
831	980	197
832	980	196
833	982	195
834	983	194
835	984	193
836	985	191
837	986	190
838	987	189
839	988	188
840	989	187
841	990	185
842	992	184
843	993	183
844	994	182
845	995	181
846	996	180
847	997	178
848	998	177
849	999	176
850	1000	175
851	1001	174
852	1003	172
853	1004	171
854	1005	170
855	1006	169
856	1007	168
857	1008	166
858	1009	165
859	1010	164
860	1011	163
861	1012	162
862	1013	160
863	1014	159
864	1015	158
865	1016	157
866	1017	156
867	1018	154
868	1019	153
869	1020	152
870	1021	151
871	1022	150
872	1023	148
873	1024	147
874	1025	146
875	1025	145
876	1026	144
877	1027	142
878	1028	141
879	1029	140
880	1030	139
881	1031	138
882	1033	136
883	1034	135
884	1035	134
885	1036	133
886	1037	132
887	1039	131
888	1040	129
889	1041	128
890	1042	127
891	1043	126
892	1044	125
893	1045	123
894	1046	122
895	1047	121
896	1048	120
897	1049	119
898	1050	118
899	1052	116
900	1053	115
901	1054	114
902	1055	113
903	1056	112
904	1057	111
905	1058	109
906	1059	108
907	1060	107
908	1061	106
909	1063	105
910	1064	103
911	1065	102
912	1066	101
913	1068	100
914	1069	99
915	1070	98
916	1071	96
917	1072	95
918	1073	94
919	1074	93
920	1075	92
921	1076	91
922	1077	89
923	1078	88
924	1079	87
925	1081	86
926	1082	85
927	1083	84
928	1084	82
929	1085	81
930	1086	80
931	1087	79
932	1088	78
933	1089	76
934	1090	75
935	1091	74
936	1092	73
937	1093	72
938	1095	71
939	1096	69
940	1097	68
941	1098	67
942	1099	66
943	1100	65
944	1101	64
945	1102	62
946	1103	61
947	1104	60
948	1105	59
949	1106	58
950	1107	57
951	1108	55
952	1111	54
953	1112	53
954	1113	52
955	1114	51
956	1115	50
957	1116	48
958	1117	47
959	1118	46
960	1119	45
961	1120	44
962	1121	43
963	1122	41
964	1123	40
965	1125	39
966	1126	38
967	1127	37
968	1129	36
969	1130	34
970	1131	33
971	1131	32
972	1132	31
973	1133	30
974	1134	29
975	1135	27
976	1136	26
977	1138	25
978	1139	24
979	1140	23
980	1141	22
981	1142	20
982	1143	19
983	1144	18
984	1145	17
985	1146	16
986	1147	15
987	1148	13
988	1149	12
989	1150	11
990	1151	10
991	1153	9
992	1154	8
993	1155	6
994	1156	5
995	1157	4
996	1159	3
997	1160	2
998	1161	1
999	1162	0
